campaign_id,campaign_name,impressions,clicks,cost,conversions
23228929821,KCU - Personal - Brand,24251,8013,1907.744766,1011.187838
23229263037,KCU - YT - AWA,1606670,3924,7969.496067,11.882365
23379709610,KCU - Personal - Brand Brand Geo Test,10449,3818,871.50488,403.822768
23435834843,X KCU - Business Checking - pMax,19982,1656,3294.760044,96.010796
23438594629,KCU - YT - AWA Extended,1153489,1377,3544.452478,1.0
23371442105,KCU - Personal - NB Extended,8476,779,5813.499834,121.0
23390869145,X KCU - DG - Kraken,184024,701,2408.770481,35.716324
23238626386,KCU - Personal - NB,6934,591,5755.300069,76.662706
23238626389,KCU - Personal - NB Locations,4844,510,4516.710957,35.35548
23355881198,X KCU - DG - 10 Mo Cert,27434,141,1256.898878,5.0
23278396982,KCU - Business - NB,4035,123,2392.51958,13.587698
23282664394,KCU - Business - Brand,204,78,812.817196,26.412302
23278397513,X KCU - Business - Non-Brand Locations,3,0,0.0,0.0
